College Name,College Link,Stream,City,Ownership,Course,Duration,Facilities
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Civil Engineering,4 Years,Boys Hostel
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Artificial Intelligence and Machine Learning,4 Years,Boys Hostel
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,Diploma in Civil Engineering,3 Years,Boys Hostel
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Electrical Engineering,4 Years,Boys Hostel
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,BE Computer Engineering,4 Years,Boys Hostel
"Loknete Gopinathji Munde Institute of Engineering Education and Research, Nashik",https://www.careers360.com/colleges/loknete-gopinathji-munde-institute-of-engineering-education-and-research-nashik,Management,Nashik,Private,B.Tech Information Technology,4 Years,Boys Hostel
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,B.Sc,3 Years,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,Advanced Diploma in Automobile Technology,2 Years,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,Diploma in Automobile Technology,1 Year,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,B.Voc Film Arts,3 Years,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,B.Voc Automobile Technology,3 Years,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,Advanced Diploma in Retail Management,2 Years,"Boys Hostel, Girls Hostel"
"Loknete Vyankatrao Hiray Arts, Science and Commerce College, Nashik",https://www.careers360.com/colleges/loknete-vyankatrao-hiray-arts-science-and-commerce-college-nashik,Management,Nashik,Private,Diploma in Retail Management,1 Year,"Boys Hostel, Girls Hostel"
